ASSESSMENT_UNIT_ID,PARAM_NAME,PARAM_USE_NAME,PARAM_STATUS_NAME,PARAM_ATTAINMENT_CODE,PARAM_TREND,PARAM_COMMENT,PARAM_AGENCY_CODE,PARAM_POLLUTANT_INDICATOR,PARAM_YEAR_LISTED,PARAM_TARGET_TMDL_DATE,PARAM_EXPECTED_TO_ATTAIN,PARAM_PRIORITY_RANKING,PARAM_CONSENT_DECREE_CYCLE,PARAM_ALT_LISTING_ID,PARAM_STATE_IR_CAT,PARAM_ORG_QUALIFIER_FLAG,PARAM_DELISTING_REASON,PARAM_DELISTING_COMMENT,PARAM_DELISTING_AGENCY
IL_AE,DISSOLVED OXYGEN,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AE,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AEA,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,No standard violation in new data for 2024 cycle,S
IL_AEA,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2012,,,Medium,,,,NumericStandard,,,
IL_AH,DISSOLVED OXYGEN,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AJD-15,FISH PASSAGE BARRIER,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AJF-02,FLOW ALTERATION-CHANGES IN DEPTH AND FLOW VELOCITY,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AJF-02,LOSS OF INSTREAM COVER,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AJF-02,SEDIMENTATION/SILTATION,Aquatic Life,Cause,Not meeting threshold,,,S,Y,2008,,,Medium,,,,NumricGuideline,,,
IL_AJF-02,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2012,,,Low,,,,NumericStandard,,,
IL_AJF-02,MANGANESE,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2008,,,Low,,,,NumericStandard,,,
IL_AJF-16,PH,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,No standard violation in new data for 2024 cycle,S
IL_AJF-16,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2024,,,Medium,,,,NumericStandard,,,
IL_AJFA-21,FLOW ALTERATION-CHANGES IN DEPTH AND FLOW VELOCITY,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,,,,
IL_AJFA-21,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,,,,
IL_AJFA-21,FLOW REGIME MODIFICATION,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AJFA-21,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,,,,
IL_AJG-18,PH,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AJG-18,DISSOLVED OXYGEN,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AK-02,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2008,,,Medium,,,,FshAdvGuideline,,,
IL_AK-04,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AK-07,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AL-01,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AO-02,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AO-03,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AP,FLOW ALTERATION-CHANGES IN DEPTH AND FLOW VELOCITY,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,,,,
IL_AP,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,,,,
IL_AP,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,,,,
IL_AQ,CAUSE UNKNOWN,Aquatic Life,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,,,,
IL_AR,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,,,,
IL_AT-05,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2018,,,Medium,,,,FshAdvGuideline,,,
IL_AT-05,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AT-05,CAUSE UNKNOWN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2024,,,Medium,,,,NumericStandard,,,
IL_AT-05,BOTTOM DEPOSITS,Aesthetic Quality,Meeting Criteria,Meeting criteria,,,,Y,,,,,,,,NarrtivStandard,,,
IL_AT-05,DISSOLVED OXYGEN,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,No standard violation in new data for 2024 cycle,S
IL_AT-05,ODOR,Aesthetic Quality,Meeting Criteria,Meeting criteria,,,,N,,,,,,,,NarrtivStandard,,,
IL_AT-05,SEDIMENTATION/SILTATION,Aquatic Life,Observed effect,Not meeting threshold,,,,,,,,,,,,,,,
IL_AT-05,LOSS OF INSTREAM COVER,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AT-06,FECAL COLIFORM,Primary Contact,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,Segment is Fully Supporting for 2024 cycle,S
IL_AT-06,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2022,,,Medium,,,,NumericStandard,,,
IL_AT-06,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2010,,,Medium,,,,FshAdvGuideline,,,
IL_AT-06,IRON,Aquatic Life,Meeting Criteria,,,,,,,,,,,,,,WQS_NEW_DATA,No standard violation in new data for 2024 cycle,S
IL_AT-07,DISSOLVED OXYGEN,Aquatic Life,Meeting Criteria,Meeting criteria,,,,Y,,,,,,,,NumericStandard,WQS_NEW_DATA,No standard violation in new data for 2020 cycle,S
IL_AT-07,ALTERATION IN STREAM-SIDE OR LITTORAL VEGETATIVE COVERS,Aquatic Life,Cause,Not meeting threshold,,,S,N,,,,,,,,ObservGuideline,,,
IL_AT-07,MERCURY,Fish Consumption,Cause,Not meeting threshold,,,S,Y,2010,,,Medium,,,,FshAdvGuideline,,,
IL_AT-07,"PHOSPHORUS, TOTAL",Aquatic Life,Cause,Not meeting threshold,,,S,Y,1998,,,Medium,,,,NumricGuideline,,,
IL_AT-07,SEDIMENTATION/SILTATION,Aquatic Life,Cause,Not meeting threshold,,,S,Y,1998,,,Medium,,,,NumricGuideline,,,
IL_AT-07,TOTAL SUSPENDED SOLIDS (TSS),Aquatic Life,Cause,Not meeting threshold,,,S,Y,1998,,,Medium,,,,NumricGuideline,,,
IL_ATB,DISSOLVED OXYGEN,Aquatic Life,Cause,Not meeting criteria,,,S,Y,2012,,,Medium,,,,NumericStandard,,,
